PRODUCT_ID,PRODUCT_DESC,PRODUCT_QUANTITY_AVAIL,PRODUCT_PRICE,"INVENTORY VALUES",NEW_PRICE
99999,"Samsung Galaxy Tab 2 P3100",50,19300.00,965000.00,16405.0000
99997,"Sony Xperia U (Black White)",50,16499.00,824950.00,14024.1500
99998,"Nikon Coolpix L810 Bridge",50,14987.00,749350.00,12738.9500
99995,"LG MS-2049UW Solo Microwave",100,4800.00,480000.00,4320.0000
99996,"Nokia Asha 200 (Graphite)",100,4070.00,407000.00,3663.0000
99994,"HP Deskjet 2050 All-in-One - J510a Printer",100,3749.00,374900.00,3374.1000
99991,"Dell Targus Synergy 2.0 Backpack",250,999.00,249750.00,899.1000
99992,"Tom Clancy's Ghost Recon: Future Soldier (PC Game)",250,999.00,249750.00,899.1000
99993,"Nokia 1280 (Black)",250,999.00,249750.00,899.1000
99990,"Quanta 4 Port USB Hub",50,500.00,25000.00,450.0000
230,"Esprit Analog Watch",5,3495.00,17475.00,3145.5000
249,"All-in-one Board Game",20,450.00,9000.00,405.0000
250,"Huwi Wi-Fi Receiver 500Mbps",30,287.00,8610.00,258.3000
